AE;Code SANDRE de la station;Nom de la station;Réseaux de mesure;RCS;RCO;RRP;RCB/RCR;CoordX;CoordY;ECHELLESTA COMITER;Contexte piscicole;TYPEFR_CONSOLIDE;Code Masse d'eau;Type de station;AREA_KM2_ME
AESN;03000344;LA COQUILLE A AIGNAY-LE-DUC 1;RCO-RCB;NON;OUI;NON;OUI;830427.9997;6730843;DTSAM;Salmonicole;TP10;FRHR1-F0020600;MEN;
AESN;03000890;LE BREVON A BUSSEAUT 1;RRP;NON;NON;OUI;NON;823769.0004;6738806;DTSAM;Salmonicole;TP10;FRHR1-F0050600;MEN;
AESN;03001000;LA SEINE A NOD-SUR-SEINE 1;RCS-RCO;OUI;OUI;NON;NON;817677.0001;6741593;DTSAM;Salmonicole;M10;FRHR2A;MEN;
AESN;03002100;LA SEINE A CHARREY-SUR-SEINE 1;RCS-RCO;OUI;OUI;NON;NON;812548.0002;6761351;DTSAM;Intermédiaire;M10;FRHR2B;MEN;
AESN;03002900;LA LAIGNES A BALNOT-SUR-LAIGNES 1;RCS-RCO;OUI;OUI;NON;NON;802477.0001;6771111;DTSAM;Intermédiaire;P10;FRHR3B;MEN;
AESN;03003790;L'ARCE A MERREY-SUR-ARCE 1;RCO;NON;OUI;NON;NON;803410.9997;6778418;DTSAM;Salmonicole;TP10;FRHR7-F0506000;MEN;
AESN;03004280;LA SARCE A JULLY-SUR-SARCE 3;RCS-RCO;OUI;OUI;NON;NON;797485.9995;6779404;DTSAM;Salmonicole;P10;FRHR8;MEN;
AESN;03004349;LA SEINE A CLEREY 1;RCS-RCO;OUI;OUI;NON;NON;788157.9995;6789959;DTSAM;Intermédiaire;G9;FRHR7;MEN;
AESN;03004985;LA NOUE ROBERT A BARBEREY-SAINT-SULPICE 2;RCO;NON;OUI;NON;NON;776880.9998;6804703;DTSAM;Cyprinicole;TP9;FRHR13A-F0902000;MEN;
AESN;03005200;LA SEINE A SAINT-LYE 1;RCO;NON;OUI;NON;NON;774637.0001;6807252;DTSAM;Cyprinicole;G9;FRHR13A;MEN;
AESN;03005284;LE TIRVA A PAYNS 1;RCO;NON;OUI;NON;NON;772857.9997;6809086;DTSAM;Cyprinicole;TP9;FRHR13A-F0906000;MEN;
AESN;03006000;LA SEINE A MERY-SUR-SEINE 1;RCS-RCO;OUI;OUI;NON;NON;765726.0005;6823385;DTSAM;Cyprinicole;G9;FRHR13A;MEN;
AESN;03006268;L'OURCE A MENESBLE 1;RCS-RCO;OUI;OUI;NON;NON;842404.9996;6742438;DTSAM;Salmonicole;P10;FRHR4;MEN;
AESN;03006271;LA GROÈME A TERREFONDREE 1;RCS-RCO-RRP;OUI;OUI;OUI;NON;839771.0002;6738161;DTSAM;Salmonicole;TP10;FRHR4-F0406000;MEN;
AESN;03006354;LE RUISSEAU DE VILLARNON A MONTMOYEN 1;RRP;NON;NON;OUI;NON;834242.9659;6737544.993;DTSAM;Salmonicole;TP10;FRHR5-F0413500;MEN;
AESN;03006590;L'OURCE A AUTRICOURT 1;RCS-RCO;OUI;OUI;NON;NON;820425.9998;6767715;DTSAM;Salmonicole;M10;FRHR6;MEN;
AESN;03007000;L'OURCE A CELLES-SUR-OURCE 1;RCO;NON;OUI;NON;NON;804941.9995;6776172;DTSAM;Intermédiaire;M10;FRHR6;MEN;
AESN;03007383;L'HOZAIN A RUMILLY-LES-VAUDES 1;RCO-RCB;NON;OUI;NON;OUI;790788.9996;6781262;DTSAM;Intermédiaire;TP9;FRHR9;MEN;
AESN;03008267;LA BARSE A CHAMP-SUR-BARSE 1;RCO;NON;OUI;NON;NON;804822;6793782;DTSAM;Cyprinicole;P9;FRHR11A;MEN;
AESN;03008505;LA BARSE A MONTREUIL-SUR-BARSE 1;RCS-RCO;OUI;OUI;NON;NON;796324.0001;6792656;DTSAM;Cyprinicole;P9;FRHR11A;MEN;
AESN;03008833;LA CIVANNE A LUSIGNY-SUR-BARSE 1;RCO-RCB;NON;OUI;NON;OUI;793118.9999;6793918;DTSAM;Cyprinicole;TP9;FRHR12;MEN;
AESN;03010670;LE MELDA A SAINT-BENOIT-SUR-SEINE 1;RCO-RCB;NON;OUI;NON;OUI;775668.0001;6807627;DTSAM;Cyprinicole;M9;FRHR13B;MEN;
